1.166E2,7.539E-1,?,5.597E2,1.111E-3,9.342E-2,?,1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.738E-2,1.175E-1,-1.16E-1,-7.662E-2,-2.047E-3,-1.651E-2,-5.836E-2,-8.548E-2,-9.696E-2,0E0,5.244E-1,1.221E2,5.468E3,-9.737E2,5.471E7,Spanish Eyes,Antonio De Lucena,Instrumental,A,280986,128,106
1.164E2,7.422E-1,?,6.7E2,1.287E-3,1.139E-1,?,1.07E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.607E-2,6.065E-2,-1.814E-1,-5.176E-2,-4.736E-2,1.334E-2,-2.026E-2,1.029E-2,-1.108E-1,0E0,5.791E-1,1.189E2,4.862E3,3.72E4,4.475E7,Spanish Eyes,Antonio De Lucena,Instrumental,A,280986,128,106
1.143E2,8.359E-1,?,8.263E2,5.737E-4,7.252E-2,?,1.07E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.648E-1,-3.844E-2,-4.87E-2,-1.475E-2,1.491E-2,-6.671E-2,-2.816E-2,7.676E-4,-5.679E-2,0E0,2.826E-1,1.226E2,5.471E3,6.382E4,5.262E7,Caravan,Tokyo Kosei Wind Orchestra,Instrumental,A,240470,128,197
1.116E2,7.734E-1,?,6.477E2,9.013E-4,8.322E-2,?,1.04E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.604E-1,8.192E-2,2.311E-2,-1.368E-1,1.078E-1,-1.749E-2,8.135E-2,-8.485E-2,-1.785E-2,0E0,4.271E-1,1.173E2,5.105E3,7.109E4,5.142E7,Caravan,Tokyo Kosei Wind Orchestra,Instrumental,A,240470,128,197
1.224E2,8.203E-1,?,6.317E2,1.046E-3,1.05E-1,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.401E-2,6.095E-2,-1.424E-2,9.242E-2,-8.614E-2,-3.723E-2,-6.014E-2,5.875E-2,5.563E-4,0E0,5.38E-1,1.257E2,5.084E3,4.664E4,4.728E7,Caravan,Tokyo Kosei Wind Orchestra,Instrumental,A,240470,128,197
1.155E2,7.305E-1,?,5.789E2,1.053E-3,8.114E-2,?,1.07E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.189E-2,1.18E-1,-9.173E-2,-6.038E-3,-2.919E-2,5.386E-2,-2.225E-2,8.949E-3,-3.911E-2,0E0,4.713E-1,1.212E2,4.856E3,1.906E4,4.605E7,Mission Impossible Theme,Tokyo Kosei Wind Orchestra,Instrumental,A,253635,128,160
1.293E2,9.18E-1,?,7.498E2,8.622E-4,7.927E-2,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.423E-2,-2.999E-1,2.529E-2,-1.548E-1,7.831E-2,-6.496E-2,-5.138E-2,-8.845E-2,-8.785E-2,0E0,4.037E-1,1.282E2,6.517E3,-1.467E4,6.948E7,Mission Impossible Theme,Tokyo Kosei Wind Orchestra,Instrumental,A,253635,128,160
1.152E2,9.141E-1,?,7.926E2,2.16E-4,1.75E-2,?,9.6E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.673E-1,-6.53E-2,1.435E-1,3.977E-2,-1.028E-1,-8.415E-2,-1.453E-2,-1.734E-1,-1.173E-2,0E0,8.653E-2,1.22E2,6.178E3,7.769E4,6.419E7,Mission Impossible Theme,Tokyo Kosei Wind Orchestra,Instrumental,A,253635,128,160
1.068E2,8.32E-1,?,6.035E2,1.165E-3,1.159E-1,?,1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.771E-1,-1.971E-1,-9.186E-2,-3.71E-3,-5.453E-2,8.412E-2,-8.727E-3,1.034E-3,-6.809E-2,0E0,5.802E-1,1.187E2,6.112E3,5.926E4,6.233E7,La Aurora,Ottmar Liebert,Instrumental,A,248254,128,112
1.13E2,8.477E-1,?,7.309E2,1.421E-3,1.381E-1,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.043E-3,-2.485E-1,-1.742E-1,-3.857E-2,1.458E-2,4.588E-2,1.341E-1,3.98E-2,-6.953E-3,0E0,7.047E-1,1.227E2,6.406E3,-4.808E1,6.571E7,La Aurora,Ottmar Liebert,Instrumental,A,248254,128,112
