1.402E2,8.594E-1,?,7.559E2,1.528E-3,1.294E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.106E-2,1.192E-1,-8.379E-2,-8.397E-2,-8.397E-3,1.417E-2,8.162E-2,-8.615E-2,-2.926E-1,0E0,6.965E-1,1.359E2,5.318E3,-8.263E4,5.325E7,Nights in the white satin,Quique Rivero Orquesta,Instrumental,C,278974,128,159
1.506E2,9.336E-1,?,6.404E2,1.464E-3,1.201E-1,?,1.19E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.082E-2,9.161E-3,9.122E-2,-6.656E-2,-1.749E-1,6.03E-2,6.276E-2,-2.69E-2,9.736E-2,0E0,6.093E-1,1.405E2,5.657E3,-9.077E4,5.874E7,Nights in the white satin,Quique Rivero Orquesta,Instrumental,C,278974,128,159
1.453E2,9.492E-1,?,6.919E2,1.023E-3,1.19E-1,?,1.18E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.886E-2,5.923E-2,3.995E-2,-1.799E-1,-4.181E-2,-2.611E-2,5.672E-2,-1.007E-1,1.376E-1,0E0,4.647E-1,1.369E2,5.383E3,-2.762E4,5.4E7,The Inner Look,Lee Ritenour,Instrumental,C,317322,128,195
1.354E2,8.594E-1,?,4.697E2,1.532E-3,1.31E-1,?,1.15E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.937E-2,1.058E-2,-3.634E-3,-3.104E-2,7.736E-2,-2.611E-2,3.814E-2,-6.863E-2,-1.221E-1,0E0,7.566E-1,1.326E2,5.342E3,-3.046E4,5.438E7,The Inner Look,Lee Ritenour,Instrumental,C,317322,128,195
1.345E2,8.008E-1,?,6.801E2,1.166E-3,1.049E-1,?,1.16E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.972E-2,1.311E-1,-1.095E-1,3.045E-2,3.111E-2,3.937E-2,1.445E-1,-2.561E-2,2.043E-2,0E0,5.783E-1,1.319E2,4.963E3,-2.513E4,4.705E7,The Inner Look,Lee Ritenour,Instrumental,C,317322,128,195
1.094E2,7.734E-1,?,7.068E2,1.58E-3,1.375E-1,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.159E-1,-5.432E-2,-1.7E-2,4.033E-2,9.979E-3,9.595E-2,1.226E-1,1.384E-2,-8.984E-2,0E0,7.335E-1,1.179E2,5.379E3,6.469E4,5.095E7,(If I Could Find) Words,The Tesca Soundmachine,Instrumental,C,332577,128,50
1.409E2,8.75E-1,?,1.082E3,1.094E-3,1.068E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.032E-2,-7.391E-2,-8.165E-2,-8.16E-2,3.716E-3,-4.504E-3,-1.366E-1,-1.327E-2,-5.334E-3,0E0,4.925E-1,1.334E2,5.602E3,-4.716E4,5.402E7,(If I Could Find) Words,The Tesca Soundmachine,Instrumental,C,332577,128,50
1.187E2,8.555E-1,?,6.03E2,1.511E-3,1.381E-1,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.784E-1,2.755E-2,9.979E-3,-7.372E-3,1.376E-2,4.186E-2,1.051E-1,1.457E-1,-1.025E-1,0E0,7.448E-1,1.242E2,5.52E3,4.287E4,5.301E7,(If I Could Find) Words,The Tesca Soundmachine,Instrumental,C,332577,128,50
1.28E2,8.906E-1,?,4.407E2,1.282E-3,1.243E-1,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.317E-2,7.277E-3,1.421E-1,3.526E-3,1.513E-2,-1.338E-2,-2.461E-2,7.426E-2,-4.459E-2,0E0,7.043E-1,1.287E2,5.51E3,4.368E4,5.231E7,Paradise,Smooth Jazz,Instrumental,C,188016,128,135
1.223E2,8.711E-1,?,6.05E2,1.304E-3,1.194E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.469E-2,-2.112E-2,9.96E-2,-8.336E-2,-2.193E-2,3.807E-3,2.773E-3,1.807E-1,9.022E-2,0E0,6.557E-1,1.259E2,5.819E3,3.259E4,5.758E7,Paradise,Smooth Jazz,Instrumental,C,188016,128,135
