1.275E2,8.789E-1,?,6.468E2,1.135E-3,9.278E-2,?,1.02E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.151E-2,-3.766E-2,3.495E-2,-5.249E-2,-5.407E-2,2.113E-1,-1.475E-1,8.993E-2,2.962E-3,0E0,5.451E-1,1.275E2,5.687E3,2.039E4,5.564E7,Annie's Song,The Bruno Bertone Orchestra,Instrumental,D,163670,128,40
1.275E2,8.203E-1,?,8.196E2,1.493E-3,1.567E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.37E-1,1.971E-2,7.047E-2,-2.546E-1,-5.523E-3,-4.461E-2,1.394E-1,-9.41E-2,4.575E-2,0E0,7.763E-1,1.274E2,5.171E3,-1.091E4,5.025E7,Annie's Song,The Bruno Bertone Orchestra,Instrumental,D,163670,128,40
1.159E2,8.477E-1,?,7.149E2,1.021E-3,9.273E-2,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.81E-2,-2.263E-1,-2.129E-1,-1.526E-2,8.676E-2,7.891E-2,-1.05E-1,-1.399E-1,2.217E-2,0E0,4.59E-1,1.236E2,6.148E3,-1.056E4,6.395E7,Philippe Audin - If cloud knows,Diego Modena & Jean,Instrumental,D,259252,128,84
9.581E1,8.086E-1,?,6.88E2,1.12E-3,8.664E-2,?,1.25E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.875E-2,-1.829E-1,-3.149E-1,3.523E-2,8.458E-2,-2.551E-2,1.184E-1,-2.957E-2,-1.101E-2,0E0,4.316E-1,1.121E2,6.512E3,1.044E5,6.787E7,Philippe Audin - If cloud knows,Diego Modena & Jean,Instrumental,D,259252,128,84
1.398E2,7.852E-1,?,6.285E2,8.811E-4,7.485E-2,?,1.27E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.202E-1,7.477E-2,-2.032E-1,1.643E-1,1.61E-3,-1.01E-1,1.271E-1,-4.211E-2,-4.079E-2,0E0,4.083E-1,1.309E2,5.11E3,-3.696E4,4.807E7,Philippe Audin - If cloud knows,Diego Modena & Jean,Instrumental,D,259252,128,84
1.18E2,7.539E-1,?,8.03E2,1.319E-3,1.19E-1,?,8.4E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.538E-1,8.419E-2,-1.208E-1,1.749E-1,-1.083E-2,2.187E-1,-4.706E-2,-1.522E-2,9.75E-3,0E0,6.267E-1,1.202E2,4.784E3,6.552E3,4.205E7,Sus Ojos Se Cerraron,Richard Clayderman,Instrumental,D,204290,128,50
8.515E1,7.031E-1,?,7.774E2,8.258E-4,8.083E-2,?,9.1E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.168E-1,8.9E-2,-4.758E-3,2.051E-1,-5.312E-2,7.487E-2,1.807E-2,7.491E-2,1.543E-2,0E0,3.284E-1,1.051E2,5.178E3,1.409E5,5.212E7,Sus Ojos Se Cerraron,Richard Clayderman,Instrumental,D,204290,128,50
1.409E2,8.32E-1,?,5.368E2,6.938E-4,6.732E-2,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.277E-1,-5.393E-2,1.124E-1,5.732E-2,1.647E-1,1.247E-1,1.382E-1,-3.88E-2,5.437E-2,0E0,3.208E-1,1.344E2,4.957E3,-3.726E4,4.77E7,Sus Ojos Se Cerraron,Richard Clayderman,Instrumental,D,204290,128,50
1.331E2,9.258E-1,?,6.976E2,1.122E-3,9.155E-2,?,1.17E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.858E-2,-1.954E-1,1.645E-1,-1.061E-1,-1.686E-1,2.184E-2,6.557E-2,-8.101E-3,1.963E-2,0E0,4.646E-1,1.262E2,6.396E3,7.104E4,6.949E7,The Long And Winding Road,Chris Cozens,Instrumental,D,146455,128,70
1.389E2,8.945E-1,?,6.217E2,1.33E-3,1.164E-1,?,1.22E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.809E-2,-1.409E-1,2.53E-1,1.086E-1,-2.666E-1,-7.189E-3,7.993E-2,-8.401E-2,-1.895E-2,0E0,5.998E-1,1.316E2,6.237E3,1.054E4,6.299E7,The Long And Winding Road,Chris Cozens,Instrumental,D,146455,128,70
1.391E2,8.711E-1,?,5.871E2,1.321E-3,1.225E-1,?,1.18E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.927E-2,-3.167E-2,1.275E-1,2.279E-2,-1.466E-1,1.014E-1,-1.67E-2,-1.1E-1,1.013E-1,0E0,5.929E-1,1.325E2,5.612E3,-2.665E4,5.309E7,The Long And Winding Road,Chris Cozens,Instrumental,D,146455,128,70
1.667E2,8.75E-1,?,7.305E2,1.966E-3,1.627E-1,?,1.35E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,3.694E-1,4.068E-2,-1.785E-1,9.279E-2,7.94E-2,-9.184E-2,4.041E-2,-1.25E-1,-4.158E-2,0E0,8.282E-1,1.479E2,5.074E3,-1.556E5,5.197E7,Mujer,Rogelio Barba,Instrumental,D,208992,128,55
1.227E2,7.617E-1,?,6.62E2,2.199E-3,1.66E-1,?,9.6E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-6.523E-2,2.025E-1,3.188E-2,-2.836E-1,8.855E-3,6.979E-3,-2.127E-2,9.638E-2,1.825E-1,0E0,9.092E-1,1.241E2,4.962E3,1.088E4,5.251E7,Mujer,Rogelio Barba,Instrumental,D,208992,128,55
1.74E2,8.906E-1,?,5.653E2,1.933E-3,1.254E-1,?,1.34E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.955E-1,1.714E-2,-9.593E-2,7.561E-2,1.157E-2,-4.796E-2,1.049E-3,9.985E-2,-1.612E-2,0E0,7.246E-1,1.558E2,4.53E3,-1.707E5,4.67E7,Mujer,Rogelio Barba,Instrumental,D,208992,128,55
9.988E1,8.047E-1,?,7.951E2,1.397E-3,1.424E-1,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.176E-1,-8.291E-2,8.009E-2,1.283E-1,3.377E-2,1.054E-1,3.863E-2,-7.395E-2,1.931E-2,0E0,6.564E-1,1.132E2,5.777E3,1.484E5,6.137E7,Philippe Audin - Stop saying... I love you,Diego Modena & Jean,Instrumental,D,220904,128,72
1.583E2,9.023E-1,?,5.799E2,1.833E-3,1.332E-1,?,1.1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.239E-2,-4.88E-2,3.939E-2,-1.481E-2,-6.992E-2,-7.572E-2,-3.793E-2,1.328E-1,4.237E-2,0E0,8.008E-1,1.42E2,5.655E3,-1.073E5,5.826E7,Philippe Audin - Stop saying... I love you,Diego Modena & Jean,Instrumental,D,220904,128,72
1.133E2,8.086E-1,?,8.499E2,1.248E-3,1.239E-1,?,9E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.635E-1,-9.522E-3,-1.439E-1,3.209E-2,-7.357E-2,1.143E-1,-1.055E-1,1.458E-2,-7.168E-2,0E0,5.66E-1,1.192E2,5.317E3,3.158E4,5.238E7,Philippe Audin - Stop saying... I love you,Diego Modena & Jean,Instrumental,D,220904,128,72
1.358E2,8.164E-1,?,6.896E2,9.311E-4,6.743E-2,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,3.512E-2,1.789E-1,2.517E-1,4.219E-2,-5.662E-2,-4.744E-2,-1.539E-1,2.668E-2,2.242E-1,0E0,4.039E-1,1.319E2,4.968E3,-2.822E3,4.781E7,Tears In Heaven,Sergi Vicente,Instrumental,D,270249,128,80
1.558E2,9.453E-1,?,6.74E2,9.123E-4,9.608E-2,?,1.28E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.052E-1,-4.978E-3,3.025E-1,9.679E-2,7.485E-2,-3.478E-2,6.033E-2,-5.894E-2,-1.31E-1,0E0,4.28E-1,1.425E2,5.56E3,-5.328E4,5.333E7,Tears In Heaven,Sergi Vicente,Instrumental,D,270249,128,80
8.166E1,6.953E-1,?,4.181E2,1.658E-3,1.234E-1,?,1.13E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.539E-1,-5.83E-3,4.408E-2,2.229E-1,-3.638E-2,3.162E-2,-4.356E-2,-2.069E-1,-1.066E-1,0E0,7.114E-1,1.041E2,5.621E3,1.76E5,5.903E7,Tears In Heaven,Sergi Vicente,Instrumental,D,270249,128,80
1.148E2,8.555E-1,?,5.624E2,1.788E-3,1.187E-1,?,1.17E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.985E-2,-1.798E-1,-2.5E-1,-1.186E-1,1.361E-1,1.05E-1,1.117E-1,1.422E-1,4.848E-2,0E0,7.081E-1,1.243E2,6.337E3,-3.284E4,6.549E7,Banks Of The Ohio,The Bruno Bertone Orchestra,Instrumental,D,117851,128,65
1.004E2,8.086E-1,?,6.727E2,1.57E-3,1.157E-1,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.214E-2,-3.234E-2,-1.973E-1,-1.106E-1,2.472E-1,-1.535E-2,7.802E-2,1.587E-1,3.31E-2,0E0,6.268E-1,1.137E2,5.936E3,1.384E5,6.41E7,Banks Of The Ohio,The Bruno Bertone Orchestra,Instrumental,D,117851,128,65
7.105E1,6.016E-1,?,7.313E2,1.774E-3,1.241E-1,?,9.1E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.363E-1,-2.917E-1,1.573E-2,-1.34E-1,1.293E-1,-2.773E-2,-1.474E-1,4.376E-2,2.022E-1,0E0,5.844E-1,1.023E2,5.996E3,1.926E5,6.689E7,Banks Of The Ohio,The Bruno Bertone Orchestra,Instrumental,D,117851,128,65
1.339E2,8.477E-1,?,5.185E2,9.007E-4,7.696E-2,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.187E-3,4.252E-3,-2.845E-2,1.155E-1,-1.067E-1,5.578E-2,-3.274E-2,1.225E-1,-1.57E-2,0E0,4.973E-1,1.31E2,5.281E3,-4.443E4,5.077E7,My Way,The Bruno Bertone Orchestra,Instrumental,D,275291,128,76
1.384E2,8.086E-1,?,6.829E2,1.386E-3,1.069E-1,?,1.07E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.483E-2,3.316E-1,1.791E-1,2.247E-1,-3.104E-2,-2.795E-2,3.415E-2,-5.65E-3,4.58E-2,0E0,5.486E-1,1.353E2,4.131E3,-1.371E4,3.494E7,My Way,The Bruno Bertone Orchestra,Instrumental,D,275291,128,76
1.52E2,8.008E-1,?,6.746E2,1.416E-3,1.086E-1,?,1.27E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.273E-1,1.301E-1,-1.006E-1,4.639E-2,-2.024E-1,9.499E-3,4.238E-2,6.335E-2,-4.503E-2,0E0,5.197E-1,1.438E2,3.648E3,-8.21E4,3.138E7,My Way,The Bruno Bertone Orchestra,Instrumental,D,275291,128,76
1.377E2,8.398E-1,?,6.507E2,1.007E-3,1.051E-1,?,1.13E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.419E-1,-4.233E-2,-7.758E-2,4.314E-2,-6.709E-2,6.194E-2,-4.589E-2,1.683E-1,-4.928E-2,0E0,5.403E-1,1.318E2,5.478E3,-6.085E4,5.209E7,Lately,Chris Cozens,Instrumental,D,263719,128,70
1.128E2,8.242E-1,?,7.897E2,9.365E-4,9.888E-2,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.718E-2,-5.415E-3,-1.538E-1,-5.472E-2,1.679E-1,7.848E-2,-2.368E-2,1.635E-1,-1.355E-2,0E0,4.553E-1,1.213E2,5.567E3,1.438E4,5.367E7,Lately,Chris Cozens,Instrumental,D,263719,128,70
1.449E2,8.945E-1,?,6.514E2,1.041E-3,1.056E-1,?,1.14E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.638E-2,3.459E-2,-1.022E-1,4.226E-2,-1.104E-3,-4.414E-2,-8.489E-2,2.846E-2,4.807E-2,0E0,5.254E-1,1.351E2,5.777E3,-7.683E4,5.871E7,Lately,Chris Cozens,Instrumental,D,263719,128,70
1.301E2,7.734E-1,?,6.895E2,1.605E-3,1.361E-1,?,1.01E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.439E-2,1.742E-1,-1.749E-2,4.143E-2,-8.906E-2,-8.714E-2,5.787E-2,-8.457E-2,5.438E-4,0E0,7.045E-1,1.279E2,4.733E3,2.736E4,4.748E7,Dont`t Give Up,Inishkea,Instrumental,D,288901,128,40
1.317E2,8.672E-1,?,5.768E2,1.481E-3,1.517E-1,?,1.17E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,3.205E-2,1.135E-1,1.829E-1,-1.714E-1,3.176E-2,4.31E-2,1.095E-2,-6.748E-2,-2.256E-2,0E0,7.089E-1,1.281E2,5.087E3,2.561E4,5.145E7,Dont`t Give Up,Inishkea,Instrumental,D,288901,128,40
1.167E2,7.266E-1,?,6.635E2,1.958E-3,1.683E-1,?,1.14E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.43E-3,-3.328E-2,-7.367E-2,5.721E-2,1.308E-1,-1.512E-1,1.299E-1,8.066E-2,3.241E-2,0E0,9.16E-1,1.185E2,5.188E3,-8.552E3,4.654E7,Dont`t Give Up,Inishkea,Instrumental,D,288901,128,40
1.281E2,8.789E-1,?,7.564E2,1.268E-3,1.184E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.712E-2,-7.403E-2,8.339E-2,1.369E-1,-1.048E-1,1.575E-1,1.463E-2,-5.611E-2,4.197E-2,0E0,6.342E-1,1.276E2,5.955E3,2.758E4,5.79E7,Thik twice,Inishkea,Instrumental,D,260558,128,68
1.047E2,8.672E-1,?,6.567E2,2.097E-3,1.772E-1,?,1.01E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.468E-1,-1.867E-1,-6.654E-2,-8.848E-3,1.671E-2,-6.837E-3,-6.445E-2,5.503E-2,-9.752E-2,0E0,8.851E-1,1.19E2,6.357E3,2.45E4,6.602E7,Thik twice,Inishkea,Instrumental,D,260558,128,68
9.357E1,7.031E-1,?,7.04E2,1.564E-3,1.738E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-8.853E-2,2.225E-3,-2.029E-1,-3.397E-2,1.459E-1,3.354E-2,2.099E-1,-1.696E-1,7.228E-2,0E0,7.405E-1,1.117E2,5.623E3,1.101E5,5.733E7,Thik twice,Inishkea,Instrumental,D,260558,128,68
